NS 977
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6158
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 3142
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 1944
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7942
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 5041
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9144
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 9148
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7922
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6132
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 6138
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
PHF +2,-4,-5,+0
ROOT 7946
UHF -3,+1,+5,+9
LHF +5,+4,-6,-6
